"STUDY","CONDITION","ID","USUBJID","TIME","DV","YTYPE","IXGDF","MDV","AMT","ADM","TINF","NT","TIMEUNIT","NAME","ADDL","II","UNIT","TRTNAME","TRT","DOSE","ROUTE","EVID","CENS","RATE","TAD","TIMEPOS","WT","LVW","CMT2"
75,75,75,75,0,.,.,170,1,"280000",1,0,0.25,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.25,0,28,1.4,2
75,75,75,75,0.25,304.6,1,171,0,"NA",.,0,0.25,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.25,0.25,28,1.4,2
76,76,76,76,0,.,.,172,1,"280000",1,0,0.5,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.5,0,28,1.4,2
76,76,76,76,0.5,71.7,1,173,0,"NA",.,0,0.5,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.5,0.5,28,1.4,2
77,77,77,77,0,.,.,174,1,"280000",1,0,0.5,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.5,0,28,1.4,2
77,77,77,77,0.5,169.5,1,175,0,"NA",.,0,0.5,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.5,0.5,28,1.4,2
78,78,78,78,0,.,.,176,1,"280000",1,0,0.5,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.5,0,28,1.4,2
78,78,78,78,0.5,192.5,1,177,0,"NA",.,0,0.5,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.5,0.5,28,1.4,2
79,79,79,79,0,.,.,178,1,"280000",1,0,1,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",1,0,28,1.4,2
79,79,79,79,1,309.4,1,179,0,"NA",.,0,1,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",1,1,28,1.4,2
80,80,80,80,0,.,.,180,1,"280000",1,0,1,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",1,0,28,1.4,2
80,80,80,80,1,72.4,1,181,0,"NA",.,0,1,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",1,1,28,1.4,2
81,81,81,81,0,.,.,182,1,"280000",1,0,1,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",1,0,28,1.4,2
81,81,81,81,1,17.6,1,183,0,"NA",.,0,1,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",1,1,28,1.4,2
82,82,82,82,0,.,.,184,1,"280000",1,0,2,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",2,0,28,1.4,2
82,82,82,82,2,4.5,1,185,0,"NA",.,0,2,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",2,2,28,1.4,2
83,83,83,83,0,.,.,186,1,"280000",1,0,2,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",2,0,28,1.4,2
83,83,83,83,2,4.5,1,187,0,"NA",.,0,2,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",2,2,28,1.4,2
84,84,84,84,0,.,.,188,1,"280000",1,0,2,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",2,0,28,1.4,2
84,84,84,84,2,9.8,1,189,0,"NA",.,0,2,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",2,2,28,1.4,2
85,85,85,85,0,.,.,190,1,"280000",1,0,4,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",4,0,28,1.4,2
85,85,85,85,4,5.4,1,191,0,"NA",.,0,4,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",4,4,28,1.4,2
86,86,86,86,0,.,.,192,1,"280000",1,0,4,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",4,0,28,1.4,2
86,86,86,86,4,0.2,1,193,0,"NA",.,0,4,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",4,4,28,1.4,2
87,87,87,87,0,.,.,194,1,"280000",1,0,4,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",4,0,28,1.4,2
87,87,87,87,4,13.6,1,195,0,"NA",.,0,4,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",4,4,28,1.4,2
88,88,88,88,0,.,.,196,1,"280000",1,0,6,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",6,0,28,1.4,2
88,88,88,88,6,16.1,1,197,0,"NA",.,0,6,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",6,6,28,1.4,2
89,89,89,89,0,.,.,198,1,"280000",1,0,6,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",6,0,28,1.4,2
89,89,89,89,6,0.4,1,199,0,"NA",.,0,6,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",6,6,28,1.4,2
90,90,90,90,0,.,.,200,1,"280000",1,0,6,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",6,0,28,1.4,2
90,90,90,90,6,0.6,1,201,0,"NA",.,0,6,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",6,6,28,1.4,2
91,91,91,91,0,.,.,202,1,"280000",1,0,8,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",8,0,28,1.4,2
91,91,91,91,8,0.5,1,203,0,"NA",.,0,8,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",8,8,28,1.4,2
92,92,92,92,0,.,.,204,1,"280000",1,0,8,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",8,0,28,1.4,2
92,92,92,92,8,0.6,1,205,0,"NA",.,0,8,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",8,8,28,1.4,2
93,93,93,93,0,.,.,206,1,"280000",1,0,8,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",8,0,28,1.4,2
93,93,93,93,8,3.5,1,207,0,"NA",.,0,8,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",8,8,28,1.4,2
94,94,94,94,0,.,.,208,1,"280000",1,0,12,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",12,0,28,1.4,2
94,94,94,94,12,0.4,1,209,0,"NA",.,0,12,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",12,12,28,1.4,2
95,95,95,95,0,.,.,210,1,"280000",1,0,12,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",12,0,28,1.4,2
95,95,95,95,12,0.6,1,211,0,"NA",.,0,12,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",12,12,28,1.4,2
96,96,96,96,0,.,.,212,1,"280000",1,0,12,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",12,0,28,1.4,2
96,96,96,96,12,6.8,1,213,0,"NA",.,0,12,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",12,12,28,1.4,2
97,97,97,97,0,.,.,214,1,"280000",1,0,24,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",24,0,28,1.4,2
97,97,97,97,24,0.4,1,215,0,"NA",.,0,24,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",24,24,28,1.4,2
98,98,98,98,0,.,.,216,1,"280000",1,0,24,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",24,0,28,1.4,2
98,98,98,98,24,2.2,1,217,0,"NA",.,0,24,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",24,24,28,1.4,2
99,99,99,99,0,.,.,218,1,"280000",1,0,24,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",24,0,28,1.4,2
99,99,99,99,24,0.9,1,219,0,"NA",.,0,24,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",24,24,28,1.4,2
