STUDY,CONDITION,ID,USUBJID,TIME,DV,YTYPE,IXGDF,MDV,AMT,ADM,TINF,NT,TIMEUNIT,NAME,ADDL,II,UNIT,TRTNAME,TRT,DOSE,ROUTE,EVID,CENS,RATE,TAD,TIMEPOS,WT,LVW,CMT2
1,1,31,31,8,0.61,1,56,0,NA,.,0,8,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,8,8,28.21,1.7962,2
1,1,32,32,0,.,.,57,1,272000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.2,1.6345,2
1,1,32,32,8,0.85,1,58,0,NA,.,0,8,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,8,8,27.2,1.6345,2
1,1,33,33,0,.,.,59,1,277200,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.72,1.7872,2
1,1,33,33,8,0.38,1,60,0,NA,.,0,8,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,8,8,27.72,1.7872,2
1,1,34,34,0,.,.,61,1,273400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.34,1.2836,1
1,1,34,34,0,0,1,62,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.34,1.2836,2
1,1,34,34,0.033,21.44,1,63,0,NA,.,0,0.033,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.033,0.033,27.34,1.2836,2
1,1,35,35,0,.,.,64,1,277400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.74,1.2836,1
1,1,35,35,0,0,1,65,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.74,1.2836,2
1,1,35,35,0.033,16.6,1,66,0,NA,.,0,0.033,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.033,0.033,27.74,1.2836,2
1,1,36,36,0,.,.,67,1,270800,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.08,1.2836,1
1,1,36,36,0,0,1,68,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.08,1.2836,2
1,1,36,36,0.033,22.37,1,69,0,NA,.,0,0.033,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.033,0.033,27.08,1.2836,2
1,1,37,37,0,.,.,70,1,273000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.3,1.2836,1
1,1,37,37,0,0,1,71,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.3,1.2836,2
1,1,37,37,0.083,25.68,1,72,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.083,0.083,27.3,1.2836,2
1,1,38,38,0,.,.,73,1,292900,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,29.29,1.2836,1
1,1,38,38,0,0,1,74,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,29.29,1.2836,2
1,1,38,38,0.083,9.52,1,75,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.083,0.083,29.29,1.2836,2
1,1,39,39,0,.,.,76,1,265900,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,26.59,1.2836,1
1,1,39,39,0,0,1,77,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,26.59,1.2836,2
1,1,39,39,0.083,46.71,1,78,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.083,0.083,26.59,1.2836,2
1,1,40,40,0,.,.,79,1,268700,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,26.87,1.2836,1
1,1,40,40,0,0,1,80,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,26.87,1.2836,2
1,1,40,40,0.25,44.58,1,81,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.25,0.25,26.87,1.2836,2
1,1,41,41,0,.,.,82,1,273800,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.38,1.2836,1
1,1,41,41,0,0,1,83,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.38,1.2836,2
1,1,41,41,0.25,30.57,1,84,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.25,0.25,27.38,1.2836,2
1,1,42,42,0,.,.,85,1,277100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.71,1.2836,1
1,1,42,42,0,0,1,86,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.71,1.2836,2
1,1,42,42,0.25,5.01,1,87,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.25,0.25,27.71,1.2836,2
1,1,43,43,0,.,.,88,1,283200,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.32,1.2836,1
1,1,43,43,0,0,1,89,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.32,1.2836,2
1,1,43,43,0.5,21.49,1,90,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.5,0.5,28.32,1.2836,2
1,1,44,44,0,.,.,91,1,295100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,29.51,1.5218,1
1,1,44,44,0,0,1,92,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,29.51,1.5218,2
1,1,44,44,0.5,47.16,1,93,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.5,0.5,29.51,1.5218,2
1,1,45,45,0,.,.,94,1,301000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,30.1,1.4692,1
1,1,45,45,0,0,1,95,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,30.1,1.4692,2
1,1,45,45,0.5,46.16,1,96,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.5,0.5,30.1,1.4692,2
1,1,46,46,0,.,.,97,1,298300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,29.83,1.3174,1
1,1,46,46,0,0,1,98,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,29.83,1.3174,2
1,1,46,46,0.75,76.97,1,99,0,NA,.,0,0.75,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.75,0.75,29.83,1.3174,2
1,1,47,47,0,.,.,100,1,296100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,29.61,1.3174,1
1,1,47,47,0,0,1,101,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,29.61,1.3174,2
1,1,47,47,0.75,19.56,1,102,0,NA,.,0,0.75,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.75,0.75,29.61,1.3174,2
1,1,48,48,0,.,.,103,1,287300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.73,1.3174,1
1,1,48,48,0,0,1,104,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.73,1.3174,2
1,1,48,48,0.75,15.36,1,105,0,NA,.,0,0.75,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0.75,0.75,28.73,1.3174,2
1,1,49,49,0,.,.,106,1,272900,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.29,1.3174,1
1,1,49,49,0,0,1,107,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.29,1.3174,2
1,1,49,49,1,7.46,1,108,0,NA,.,0,1,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,1,1,27.29,1.3174,2
1,1,50,50,0,.,.,109,1,287100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.71,1.387,1
1,1,50,50,0,0,1,110,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.71,1.387,2
1,1,50,50,1,59.38,1,111,0,NA,.,0,1,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,1,1,28.71,1.387,2
1,1,51,51,0,.,.,112,1,296300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,29.63,1.6987,1
1,1,51,51,0,0,1,113,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,29.63,1.6987,2
1,1,51,51,1,22.34,1,114,0,NA,.,0,1,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,1,1,29.63,1.6987,2
1,1,52,52,0,.,.,115,1,284800,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.48,1.4402,1
1,1,52,52,0,0,1,116,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.48,1.4402,2
1,1,52,52,2,3.2,1,117,0,NA,.,0,2,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,2,2,28.48,1.4402,2
1,1,53,53,0,.,.,118,1,285100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.51,1.2256,1
1,1,53,53,0,0,1,119,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.51,1.2256,2
1,1,53,53,2,1.15,1,120,0,NA,.,0,2,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,2,2,28.51,1.2256,2
1,1,54,54,0,.,.,121,1,274900,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.49,1.2772,1
1,1,54,54,0,0,1,122,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.49,1.2772,2
1,1,54,54,2,24.32,1,123,0,NA,.,0,2,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,2,2,27.49,1.2772,2
1,1,55,55,0,.,.,124,1,303300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,30.33,1.5539,1
1,1,55,55,0,0,1,125,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,30.33,1.5539,2
1,1,55,55,3,16.55,1,126,0,NA,.,0,3,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,3,3,30.33,1.5539,2
1,1,56,56,0,.,.,127,1,279500,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.95,1.5539,1
1,1,56,56,0,0,1,128,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.95,1.5539,2
1,1,56,56,3,2.56,1,129,0,NA,.,0,3,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,3,3,27.95,1.5539,2
1,1,57,57,0,.,.,130,1,275000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.5,1.5539,1
1,1,57,57,0,0,1,131,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.5,1.5539,2
1,1,57,57,3,1.84,1,132,0,NA,.,0,3,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,3,3,27.5,1.5539,2
1,1,58,58,0,.,.,133,1,274500,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.45,1.5539,1
1,1,58,58,0,0,1,134,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.45,1.5539,2
1,1,58,58,4,3.85,1,135,0,NA,.,0,4,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,4,4,27.45,1.5539,2
1,1,59,59,0,.,.,136,1,283500,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.35,1.5491,1
1,1,59,59,0,0,1,137,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.35,1.5491,2
1,1,59,59,4,7.78,1,138,0,NA,.,0,4,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,4,4,28.35,1.5491,2
1,1,60,60,0,.,.,139,1,288500,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.85,1.4813,1
1,1,60,60,0,0,1,140,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.85,1.4813,2
1,1,60,60,4,2.8,1,141,0,NA,.,0,4,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,4,4,28.85,1.4813,2
1,1,62,62,0,.,.,142,1,290400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,29.04,1.5658,1
1,1,62,62,0,0,1,143,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,29.04,1.5658,2
1,1,62,62,6,0.16,1,144,0,NA,.,0,6,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,6,6,29.04,1.5658,2
1,1,63,63,0,.,.,145,1,273300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.33,1.5658,1
1,1,63,63,0,0,1,146,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.33,1.5658,2
1,1,63,63,6,2.7,1,147,0,NA,.,0,6,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,6,6,27.33,1.5658,2
1,1,65,65,0,.,.,148,1,285600,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,28.56,1.7403,1
1,1,65,65,0,0,1,149,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,28.56,1.7403,2
1,1,65,65,8,0.55,1,150,0,NA,.,0,8,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,8,8,28.56,1.7403,2
1,1,66,66,0,.,.,151,1,273700,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,PO,1,0,NA,0,0,27.37,1.5724,1
1,1,66,66,0,0,1,152,0,NA,.,0,0,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,0,0,27.37,1.5724,2
1,1,66,66,8,2.44,1,153,0,NA,.,0,8,HOURS,OUTPUT1,0,0,,QD,1,10,.,0,0,NA,8,8,27.37,1.5724,2
1,1,67,67,0,.,.,154,1,280000,1,0,0.017,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.017,0,28,1.4,2
1,1,67,67,0.017,7256,1,155,0,NA,.,0,0.017,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.017,0.017,28,1.4,2
1,1,68,68,0,.,.,156,1,280000,1,0,0.017,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.017,0,28,1.4,2
1,1,68,68,0.017,8399.9,1,157,0,NA,.,0,0.017,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.017,0.017,28,1.4,2
1,1,69,69,0,.,.,158,1,280000,1,0,0.017,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.017,0,28,1.4,2
1,1,69,69,0.017,10783.4,1,159,0,NA,.,0,0.017,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.017,0.017,28,1.4,2
1,1,70,70,0,.,.,160,1,280000,1,0,0.083,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.083,0,28,1.4,2
1,1,70,70,0.083,1942.4,1,161,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.083,0.083,28,1.4,2
1,1,71,71,0,.,.,162,1,280000,1,0,0.083,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.083,0,28,1.4,2
1,1,71,71,0.083,1919.4,1,163,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.083,0.083,28,1.4,2
1,1,72,72,0,.,.,164,1,280000,1,0,0.083,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.083,0,28,1.4,2
1,1,72,72,0.083,1731.5,1,165,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.083,0.083,28,1.4,2
1,1,73,73,0,.,.,166,1,280000,1,0,0.25,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.25,0,28,1.4,2
1,1,73,73,0.25,211.7,1,167,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.25,0.25,28,1.4,2
1,1,74,74,0,.,.,168,1,280000,1,0,0.25,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.25,0,28,1.4,2
1,1,74,74,0.25,308.5,1,169,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.25,0.25,28,1.4,2
1,1,75,75,0,.,.,170,1,280000,1,0,0.25,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.25,0,28,1.4,2
1,1,75,75,0.25,304.6,1,171,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.25,0.25,28,1.4,2
1,1,76,76,0,.,.,172,1,280000,1,0,0.5,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.5,0,28,1.4,2
1,1,76,76,0.5,71.7,1,173,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.5,0.5,28,1.4,2
1,1,77,77,0,.,.,174,1,280000,1,0,0.5,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.5,0,28,1.4,2
1,1,77,77,0.5,169.5,1,175,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.5,0.5,28,1.4,2
1,1,78,78,0,.,.,176,1,280000,1,0,0.5,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0.5,0,28,1.4,2
1,1,78,78,0.5,192.5,1,177,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.5,0.5,28,1.4,2
