TABLE NO.  1
 ID          TIME        AMT         CMT         DV          MDV         IPRED       CWRES       IWRES       ROUTE       DOSE        DV          PRED        RES         WRES
  1.3000E+01  0.0000E+00  2.8890E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.9093E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.9093E+03  0.0000E+00  0.0000E+00
  1.3000E+01  7.5000E-01  0.0000E+00  1.0000E+00  2.3189E+02  0.0000E+00  1.6249E+02  3.0121E-01  3.0121E-01  1.0000E+00  1.0000E+01  2.3189E+02  1.6249E+02  6.9397E+01  3.0121E-01
  1.4000E+01  0.0000E+00  2.7910E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.6071E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.6071E+03  0.0000E+00  0.0000E+00
  1.4000E+01  7.5000E-01  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  1.5698E+02 -7.0529E-01 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.5698E+02 -1.5698E+02 -7.0529E-01
  1.5000E+01  0.0000E+00  2.9030E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.9525E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.9525E+03  0.0000E+00  0.0000E+00
  1.5000E+01  7.5000E-01  0.0000E+00  1.0000E+00  1.6510E+01  0.0000E+00  1.6328E+02 -6.3397E-01 -6.3397E-01  1.0000E+00  1.0000E+01  1.6510E+01  1.6328E+02 -1.4677E+02 -6.3397E-01
  1.6000E+01  0.0000E+00  2.7740E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5547E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5547E+03  0.0000E+00  0.0000E+00
  1.6000E+01  1.0000E+00  0.0000E+00  1.0000E+00  3.0794E+02  0.0000E+00  1.4851E+02  7.5711E-01  7.5711E-01  1.0000E+00  1.0000E+01  3.0794E+02  1.4851E+02  1.5943E+02  7.5711E-01
  1.7000E+01  0.0000E+00  2.8000E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.6349E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.6349E+03  0.0000E+00  0.0000E+00
  1.7000E+01  1.0000E+00  0.0000E+00  1.0000E+00  5.5186E+02  0.0000E+00  1.4991E+02  1.8911E+00  1.8911E+00  1.0000E+00  1.0000E+01  5.5186E+02  1.4991E+02  4.0195E+02  1.8911E+00
  1.8000E+01  0.0000E+00  2.9030E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.9525E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.9525E+03  0.0000E+00  0.0000E+00
  1.8000E+01  1.0000E+00  0.0000E+00  1.0000E+00  6.6900E+00  0.0000E+00  1.5542E+02 -6.7493E-01 -6.7493E-01  1.0000E+00  1.0000E+01  6.6900E+00  1.5542E+02 -1.4873E+02 -6.7493E-01
  1.9000E+01  0.0000E+00  2.8100E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.6657E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.6657E+03  0.0000E+00  0.0000E+00
  1.9000E+01  2.0000E+00  0.0000E+00  1.0000E+00  9.0000E-01  0.0000E+00  1.2350E+02 -7.0015E-01 -7.0015E-01  1.0000E+00  1.0000E+01  9.0000E-01  1.2350E+02 -1.2260E+02 -7.0015E-01
  2.0000E+01  0.0000E+00  2.7670E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5331E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5331E+03  0.0000E+00  0.0000E+00
  2.0000E+01  2.0000E+00  0.0000E+00  1.0000E+00  4.8000E+00  0.0000E+00  1.2161E+02 -6.7745E-01 -6.7745E-01  1.0000E+00  1.0000E+01  4.8000E+00  1.2161E+02 -1.1681E+02 -6.7745E-01
  2.1000E+01  0.0000E+00  2.6520E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.1785E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.1785E+03  0.0000E+00  0.0000E+00
  2.1000E+01  2.0000E+00  0.0000E+00  1.0000E+00  3.6000E+00  0.0000E+00  1.1655E+02 -6.8350E-01 -6.8350E-01  1.0000E+00  1.0000E+01  3.6000E+00  1.1655E+02 -1.1295E+02 -6.8350E-01
  2.5000E+01  0.0000E+00  2.7030E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.3357E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.3357E+03  0.0000E+00  0.0000E+00
  2.5000E+01  4.0000E+00  0.0000E+00  1.0000E+00  1.0200E+00  0.0000E+00  8.0052E+01 -6.9630E-01 -6.9630E-01  1.0000E+00  1.0000E+01  1.0200E+00  8.0052E+01 -7.9032E+01 -6.9630E-01
  2.6000E+01  0.0000E+00  2.8290E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.7243E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.7243E+03  0.0000E+00  0.0000E+00
  2.6000E+01  4.0000E+00  0.0000E+00  1.0000E+00  3.0000E-02  0.0000E+00  8.3783E+01 -7.0504E-01 -7.0504E-01  1.0000E+00  1.0000E+01  3.0000E-02  8.3783E+01 -8.3753E+01 -7.0504E-01
  2.7000E+01  0.0000E+00  2.7840E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5855E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5855E+03  0.0000E+00  0.0000E+00
  2.7000E+01  4.0000E+00  0.0000E+00  1.0000E+00  1.2000E+00  0.0000E+00  8.2451E+01 -6.9502E-01 -6.9502E-01  1.0000E+00  1.0000E+01  1.2000E+00  8.2451E+01 -8.1251E+01 -6.9502E-01
  2.8000E+01  0.0000E+00  2.7880E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5979E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5979E+03  0.0000E+00  0.0000E+00
  2.8000E+01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  5.5641E+01  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  5.5641E+01  0.0000E+00  0.0000E+00
  2.9000E+01  0.0000E+00  2.6510E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.1754E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.1754E+03  0.0000E+00  0.0000E+00
  2.9000E+01  6.0000E+00  0.0000E+00  1.0000E+00  6.0000E-01  0.0000E+00  5.2907E+01 -6.9729E-01 -6.9729E-01  1.0000E+00  1.0000E+01  6.0000E-01  5.2907E+01 -5.2307E+01 -6.9729E-01
  3.0000E+01  0.0000E+00  2.8940E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.9248E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.9248E+03  0.0000E+00  0.0000E+00
  3.0000E+01  6.0000E+00  0.0000E+00  1.0000E+00  3.0500E+00  0.0000E+00  5.7756E+01 -6.6804E-01 -6.6804E-01  1.0000E+00  1.0000E+01  3.0500E+00  5.7756E+01 -5.4706E+01 -6.6804E-01
  3.1000E+01  0.0000E+00  2.8210E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.6996E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.6996E+03  0.0000E+00  0.0000E+00
  3.1000E+01  8.0000E+00  0.0000E+00  1.0000E+00  6.1000E-01  0.0000E+00  3.7939E+01 -6.9395E-01 -6.9395E-01  1.0000E+00  1.0000E+01  6.1000E-01  3.7939E+01 -3.7329E+01 -6.9395E-01
  3.2000E+01  0.0000E+00  2.7200E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.3882E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.3882E+03  0.0000E+00  0.0000E+00
  3.2000E+01  8.0000E+00  0.0000E+00  1.0000E+00  8.5000E-01  0.0000E+00  3.6580E+01 -6.8890E-01 -6.8890E-01  1.0000E+00  1.0000E+01  8.5000E-01  3.6580E+01 -3.5730E+01 -6.8890E-01
  3.3000E+01  0.0000E+00  2.7720E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5485E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5485E+03  0.0000E+00  0.0000E+00
  3.3000E+01  8.0000E+00  0.0000E+00  1.0000E+00  3.8000E-01  0.0000E+00  3.7280E+01 -6.9810E-01 -6.9810E-01  1.0000E+00  1.0000E+01  3.8000E-01  3.7280E+01 -3.6900E+01 -6.9810E-01
