TABLE NO.  1
 ID          TIME        AMT         CMT         DV          MDV         IPRED       CWRES       IWRES       ROUTE       DOSE        DV          PRED        RES         WRES
  1.9000E+01  0.0000E+00  2.8100E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.8131E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.8131E+03  0.0000E+00  0.0000E+00
  1.9000E+01  2.0000E+00  0.0000E+00  2.0000E+00  9.0000E-01  0.0000E+00  1.2256E+02 -7.1688E-01 -7.1688E-01  1.0000E+00  1.0000E+01  9.0000E-01  1.2256E+02 -1.2166E+02 -7.1688E-01
  2.0000E+01  0.0000E+00  2.7670E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.6629E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.6629E+03  0.0000E+00  0.0000E+00
  2.0000E+01  2.0000E+00  0.0000E+00  2.0000E+00  4.8000E+00  0.0000E+00  1.2069E+02 -6.9346E-01 -6.9346E-01  1.0000E+00  1.0000E+01  4.8000E+00  1.2069E+02 -1.1589E+02 -6.9346E-01
  2.1000E+01  0.0000E+00  2.6520E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.2613E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.2613E+03  0.0000E+00  0.0000E+00
  2.1000E+01  2.0000E+00  0.0000E+00  2.0000E+00  3.6000E+00  0.0000E+00  1.1567E+02 -6.9971E-01 -6.9971E-01  1.0000E+00  1.0000E+01  3.6000E+00  1.1567E+02 -1.1207E+02 -6.9971E-01
  2.5000E+01  0.0000E+00  2.7030E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.4394E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.4394E+03  0.0000E+00  0.0000E+00
  2.5000E+01  4.0000E+00  0.0000E+00  2.0000E+00  1.0200E+00  0.0000E+00  7.1597E+01 -7.1189E-01 -7.1189E-01  1.0000E+00  1.0000E+01  1.0200E+00  7.1597E+01 -7.0577E+01 -7.1189E-01
  2.6000E+01  0.0000E+00  2.8290E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.8794E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.8794E+03  0.0000E+00  0.0000E+00
  2.6000E+01  4.0000E+00  0.0000E+00  2.0000E+00  3.0000E-02  0.0000E+00  7.4935E+01 -7.2189E-01 -7.2189E-01  1.0000E+00  1.0000E+01  3.0000E-02  7.4935E+01 -7.4905E+01 -7.2189E-01
  2.7000E+01  0.0000E+00  2.7840E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.7223E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.7223E+03  0.0000E+00  0.0000E+00
  2.7000E+01  4.0000E+00  0.0000E+00  2.0000E+00  1.2000E+00  0.0000E+00  7.3743E+01 -7.1043E-01 -7.1043E-01  1.0000E+00  1.0000E+01  1.2000E+00  7.3743E+01 -7.2543E+01 -7.1043E-01
