TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         ROUTE       DV          PRED        RES         WRES
  4.0000E+00  1.2000E+01  0.0000E+00  1.6100E+00  0.0000E+00  1.0069E+00  0.0000E+00  8.8043E-01  0.0000E+00  2.0000E+00  1.6100E+00  1.2217E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  9.3294E-04  0.0000E+00  7.7678E+02  1.0000E+00  2.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  6.1000E+03  0.0000E+00  1.0000E+00  8.1826E+03  0.0000E+00 -1.4700E+00  0.0000E+00  2.0000E+00  0.0000E+00  7.0810E-02  0.0000E+00  0.0000E+00
  5.0000E+00  1.7000E-02  0.0000E+00  2.6900E+03  0.0000E+00  1.8668E+03  0.0000E+00  6.4818E-01  0.0000E+00  2.0000E+00  2.6900E+03  1.9303E+03  0.0000E+00  0.0000E+00
  5.0000E+00  8.3500E-02  0.0000E+00  2.0500E+03  0.0000E+00  1.0565E+03  0.0000E+00  1.3823E+00  0.0000E+00  2.0000E+00  2.0500E+03  1.0312E+03  0.0000E+00  0.0000E+00
  5.0000E+00  2.5000E-01  0.0000E+00  1.1600E+03  0.0000E+00  9.5930E+02  0.0000E+00  3.0755E-01  0.0000E+00  2.0000E+00  1.1600E+03  9.3844E+02  0.0000E+00  0.0000E+00
  5.0000E+00  5.0000E-01  0.0000E+00  8.2000E+02  0.0000E+00  8.3003E+02  0.0000E+00 -1.7759E-02  0.0000E+00  2.0000E+00  8.2000E+02  8.1516E+02  0.0000E+00  0.0000E+00
  5.0000E+00  1.0000E+00  0.0000E+00  4.5600E+02  0.0000E+00  6.2139E+02  0.0000E+00 -3.9127E-01  0.0000E+00  2.0000E+00  4.5600E+02  6.1506E+02  0.0000E+00  0.0000E+00
  5.0000E+00  2.0000E+00  0.0000E+00  5.7800E+01  0.0000E+00  3.4827E+02  0.0000E+00 -1.2260E+00  0.0000E+00  2.0000E+00  5.7800E+01  3.5016E+02  0.0000E+00  0.0000E+00
  5.0000E+00  4.0000E+00  0.0000E+00  6.8700E+00  0.0000E+00  1.0940E+02  0.0000E+00 -1.3777E+00  0.0000E+00  2.0000E+00  6.8700E+00  1.1349E+02  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  6.0500E+00  0.0000E+00  3.4365E+01  0.0000E+00 -1.2112E+00  0.0000E+00  2.0000E+00  6.0500E+00  3.6785E+01  0.0000E+00  0.0000E+00
  5.0000E+00  8.0000E+00  0.0000E+00  6.1100E+00  0.0000E+00  1.0795E+01  0.0000E+00 -6.3797E-01  0.0000E+00  2.0000E+00  6.1100E+00  1.1923E+01  0.0000E+00  0.0000E+00
