"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV"
13,4,.,.,1,2,.,.,3,2,1,100,1,1,4,1,0
13,8,.,.,1,2,.,.,3,2,1,100,1,1,8,1,0
13,24,.,.,1,2,.,.,3,2,1,100,1,1,24,1,0
13,648.5,.,5.236,0,2,.,.,3,2,2,100,1,1,0.5,0,0
13,649,.,3.554,0,2,.,.,3,2,2,100,1,1,1,0,0
13,650,.,3.153,0,2,.,.,3,2,2,100,1,1,2,0,0
13,652,.,.,1,2,.,.,3,2,2,100,1,1,4,1,0
13,656,.,3.255,0,2,.,.,3,2,2,100,1,1,8,0,0
13,672,.,.,1,2,.,.,3,2,2,100,1,1,24,1,0
14,0,1e+05,.,1,1,27,24,3,2,2,100,1,1,0,0,0
14,0.5,.,3.647,0,2,.,.,3,2,1,100,1,1,0.5,0,0
14,1,.,1.056,0,2,.,.,3,2,1,100,1,1,1,0,0
14,2,.,.,1,2,.,.,3,2,1,100,1,1,2,1,0
14,4,.,5.217,0,2,.,.,3,2,1,100,1,1,4,0,0
14,8,.,1.546,0,2,.,.,3,2,1,100,1,1,8,0,0
14,24,.,.,1,2,.,.,3,2,1,100,1,1,24,1,0
14,648.5,.,2.203,0,2,.,.,3,2,2,100,1,1,0.5,0,0
14,649,.,1.588,0,2,.,.,3,2,2,100,1,1,1,0,0
14,650,.,.,1,2,.,.,3,2,2,100,1,1,2,1,0
14,652,.,1.029,0,2,.,.,3,2,2,100,1,1,4,0,0
14,656,.,2.519,0,2,.,.,3,2,2,100,1,1,8,0,0
14,672,.,.,1,2,.,.,3,2,2,100,1,1,24,1,0
15,0,3e+05,.,1,1,27,24,3,2,2,300,1,1,0,0,0
15,0.5,.,2.438,0,2,.,.,3,2,1,300,1,1,0.5,0,0
15,1,.,1.074,0,2,.,.,3,2,1,300,1,1,1,0,0
15,2,.,1.154,0,2,.,.,3,2,1,300,1,1,2,0,0
15,4,.,.,1,2,.,.,3,2,1,300,1,1,4,1,0
15,8,.,1.125,0,2,.,.,3,2,1,300,1,1,8,0,0
15,24,.,.,1,2,.,.,3,2,1,300,1,1,24,1,0
15,648.5,.,5.843,0,2,.,.,3,2,2,300,1,1,0.5,0,0
15,649,.,2.966,0,2,.,.,3,2,2,300,1,1,1,0,0
15,650,.,2.704,0,2,.,.,3,2,2,300,1,1,2,0,0
15,652,.,1.523,0,2,.,.,3,2,2,300,1,1,4,0,0
15,656,.,1.678,0,2,.,.,3,2,2,300,1,1,8,0,0
15,672,.,.,1,2,.,.,3,2,2,300,1,1,24,1,0
16,0,3e+05,.,1,1,27,24,3,2,2,300,1,1,0,0,0
16,0.5,.,1.743,0,2,.,.,3,2,1,300,1,1,0.5,0,0
16,1,.,.,1,2,.,.,3,2,1,300,1,1,1,1,0
16,2,.,.,1,2,.,.,3,2,1,300,1,1,2,1,0
16,4,.,.,1,2,.,.,3,2,1,300,1,1,4,1,0
16,8,.,.,1,2,.,.,3,2,1,300,1,1,8,1,0
16,24,.,.,1,2,.,.,3,2,1,300,1,1,24,1,0
16,648.5,.,6.045,0,2,.,.,3,2,2,300,1,1,0.5,0,0
16,649,.,2.647,0,2,.,.,3,2,2,300,1,1,1,0,0
16,650,.,1.213,0,2,.,.,3,2,2,300,1,1,2,0,0
16,652,.,.,1,2,.,.,3,2,2,300,1,1,4,1,0
16,656,.,1.549,0,2,.,.,3,2,2,300,1,1,8,0,0
16,672,.,.,1,2,.,.,3,2,2,300,1,1,24,1,0
17,0,3e+05,.,1,1,27,24,3,2,2,300,1,1,0,0,0
17,0.5,.,3.957,0,2,.,.,3,2,1,300,1,1,0.5,0,0
17,1,.,1.595,0,2,.,.,3,2,1,300,1,1,1,0,0
17,2,.,.,1,2,.,.,3,2,1,300,1,1,2,1,0
17,4,.,3.176,0,2,.,.,3,2,1,300,1,1,4,0,0
17,8,.,2.782,0,2,.,.,3,2,1,300,1,1,8,0,0
17,24,.,1.002,0,2,.,.,3,2,1,300,1,1,24,0,0
17,648.5,.,9.651,0,2,.,.,3,2,2,300,1,1,0.5,0,0
17,649,.,4.694,0,2,.,.,3,2,2,300,1,1,1,0,0
17,650,.,4.383,0,2,.,.,3,2,2,300,1,1,2,0,0
17,652,.,4.763,0,2,.,.,3,2,2,300,1,1,4,0,0
17,656,.,4.998,0,2,.,.,3,2,2,300,1,1,8,0,0
17,672,.,1.233,0,2,.,.,3,2,2,300,1,1,24,0,0
18,0,1e+06,.,1,1,27,24,3,2,2,1000,1,1,0,0,0
18,0.5,.,48.63,0,2,.,.,3,2,1,1000,1,1,0.5,0,0
18,1,.,52.69,0,2,.,.,3,2,1,1000,1,1,1,0,0
18,2,.,7.674,0,2,.,.,3,2,1,1000,1,1,2,0,0
18,4,.,2.32,0,2,.,.,3,2,1,1000,1,1,4,0,0
18,8,.,2.7,0,2,.,.,3,2,1,1000,1,1,8,0,0
18,24,.,1.489,0,2,.,.,3,2,1,1000,1,1,24,0,0
18,648.5,.,38.02,0,2,.,.,3,2,2,1000,1,1,0.5,0,0
18,649,.,24.83,0,2,.,.,3,2,2,1000,1,1,1,0,0
18,650,.,4.46,0,2,.,.,3,2,2,1000,1,1,2,0,0
18,652,.,2.717,0,2,.,.,3,2,2,1000,1,1,4,0,0
18,656,.,7.598,0,2,.,.,3,2,2,1000,1,1,8,0,0
18,672,.,2.975,0,2,.,.,3,2,2,1000,1,1,24,0,0
19,0,1e+06,.,1,1,27,24,3,2,2,1000,1,1,0,0,0
19,0.5,.,4.084,0,2,.,.,3,2,1,1000,1,1,0.5,0,0
19,1,.,5.338,0,2,.,.,3,2,1,1000,1,1,1,0,0
