"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","AMT","RATE","ADDL","II","SPECIES","DOSE","ROUTE","FORMULATION","BQL","WT","LVW","CMT2","IXGDF","USUBJID","EVID","CENS","ADM","TINF","TIMEPOS"
"146","63",63,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.33,1.5658,2,146,"SJ59",0,0,NA,0,0
"147","63",63,6,2.7,1,6,0,NA,NA,0,0,1,10,2,1,0,27.33,1.5658,2,147,"SJ59",0,0,NA,0,6
"148","65",65,0,NA,NA,0,1,285600,NA,0,0,1,10,2,1,0,28.56,1.7403,1,148,"SJ60",1,0,0,0,0
"149","65",65,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.56,1.7403,2,149,"SJ60",0,0,NA,0,0
"150","65",65,8,0.55,1,8,0,NA,NA,0,0,1,10,2,1,0,28.56,1.7403,2,150,"SJ60",0,0,NA,0,8
"151","66",66,0,NA,NA,0,1,273700,NA,0,0,1,10,2,1,0,27.37,1.5724,1,151,"SJ61",1,0,0,0,0
"152","66",66,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.37,1.5724,2,152,"SJ61",0,0,NA,0,0
"153","66",66,8,2.44,1,8,0,NA,NA,0,0,1,10,2,1,0,27.37,1.5724,2,153,"SJ61",0,0,NA,0,8
"154","67",67,0,NA,NA,0.017,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,154,"SJ62",1,0,0,0,0
"155","67",67,0.017,7256,1,0.017,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,155,"SJ62",0,0,NA,0,0.017
"156","68",68,0,NA,NA,0.017,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,156,"SJ63",1,0,0,0,0
"157","68",68,0.017,8399.9,1,0.017,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,157,"SJ63",0,0,NA,0,0.017
"158","69",69,0,NA,NA,0.017,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,158,"SJ64",1,0,0,0,0
