"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","EVID","CENS","AMT","ADM","RATE","ADDL","II","TIMEUNIT","NAME","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","LIV","IXGDF","USUBJID","TINF","TIMEPOS"
"52","7",7,0,NA,NA,0,1,1,0,10000,2,NA,0,0,"HOURS","INPUT2",2,1,1,10,1,1,0,52,"SJ7",0,0
"53","7",7,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,53,"SJ7",0,0
"54","7",7,0.25,7.8091,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,54,"SJ7",0,0.25
"55","7",7,0.5,7.1369,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,55,"SJ7",0,0.5
"56","7",7,0.75,5.7419,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,56,"SJ7",0,0.75
"57","7",7,1,3.3131,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,57,"SJ7",0,1
"58","7",7,2,1.1519,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,58,"SJ7",0,2
"59","7",7,4,1.4944,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,59,"SJ7",0,4
"60","7",7,8,0.9367,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,60,"SJ7",0,8
"61","8",8,0,NA,NA,0,1,1,0,10000,2,NA,0,0,"HOURS","INPUT2",2,1,1,10,1,1,0,61,"SJ8",0,0
"62","8",8,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,62,"SJ8",0,0
