ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
84,2,.,9.8,0,3,.,.,1,10,1,1,2,0,28,1.4,2,.
85,4,.,5.4,0,3,.,.,1,10,1,1,4,0,28,1.4,2,.
86,4,.,0.2,0,3,.,.,1,10,1,1,4,0,28,1.4,2,.
87,4,.,13.6,0,3,.,.,1,10,1,1,4,0,28,1.4,2,.
88,6,.,16.1,0,3,.,.,1,10,1,1,6,0,28,1.4,2,.
89,6,.,0.4,0,3,.,.,1,10,1,1,6,0,28,1.4,2,.
90,6,.,0.6,0,3,.,.,1,10,1,1,6,0,28,1.4,2,.
91,8,.,0.5,0,3,.,.,1,10,1,1,8,0,28,1.4,2,.
92,8,.,0.6,0,3,.,.,1,10,1,1,8,0,28,1.4,2,.
93,8,.,3.5,0,3,.,.,1,10,1,1,8,0,28,1.4,2,.
94,12,.,0.4,0,3,.,.,1,10,1,1,12,0,28,1.4,2,.
95,12,.,0.6,0,3,.,.,1,10,1,1,12,0,28,1.4,2,.
96,12,.,6.8,0,3,.,.,1,10,1,1,12,0,28,1.4,2,.
97,24,.,0.4,0,3,.,.,1,10,1,1,24,0,28,1.4,2,.
98,24,.,2.2,0,3,.,.,1,10,1,1,24,0,28,1.4,2,.
99,24,.,0.9,0,3,.,.,1,10,1,1,24,0,28,1.4,2,.
103,0,.,0,0,3,.,.,1,10,2,1,0.25,0,28,1.4,2,.
103,0.25,.,17.2,0,3,.,.,1,10,2,1,0.25,0,28,1.4,2,.
104,0,.,0,0,3,.,.,1,10,2,1,0.25,0,28,1.4,2,.
104,0.25,.,12.8,0,3,.,.,1,10,2,1,0.25,0,28,1.4,2,.
105,0,.,0,0,3,.,.,1,10,2,1,0.25,0,28,1.4,2,.
105,0.25,.,42.3,0,3,.,.,1,10,2,1,0.25,0,28,1.4,2,.
106,0,.,0,0,3,.,.,1,10,2,1,0.5,0,28,1.4,2,.
106,0.5,.,8.7,0,3,.,.,1,10,2,1,0.5,0,28,1.4,2,.
107,0,.,0,0,3,.,.,1,10,2,1,0.5,0,28,1.4,2,.
107,0.5,.,13.4,0,3,.,.,1,10,2,1,0.5,0,28,1.4,2,.
108,0,.,0,0,3,.,.,1,10,2,1,0.5,0,28,1.4,2,.
108,0.5,.,12.6,0,3,.,.,1,10,2,1,0.5,0,28,1.4,2,.
109,0,.,0,0,3,.,.,1,10,2,1,1,0,28,1.4,2,.
109,1,.,8.3,0,3,.,.,1,10,2,1,1,0,28,1.4,2,.
110,0,.,0,0,3,.,.,1,10,2,1,1,0,28,1.4,2,.
110,1,.,5.6,0,3,.,.,1,10,2,1,1,0,28,1.4,2,.
111,0,.,0,0,3,.,.,1,10,2,1,1,0,28,1.4,2,.
111,1,.,8.9,0,3,.,.,1,10,2,1,1,0,28,1.4,2,.
112,0,.,0,0,3,.,.,1,10,2,1,2,0,28,1.4,2,.
112,2,.,25.7,0,3,.,.,1,10,2,1,2,0,28,1.4,2,.
113,0,.,0,0,3,.,.,1,10,2,1,2,0,28,1.4,2,.
113,2,.,0.4,0,3,.,.,1,10,2,1,2,0,28,1.4,2,.
114,0,.,0,0,3,.,.,1,10,2,1,2,0,28,1.4,2,.
114,2,.,24,0,3,.,.,1,10,2,1,2,0,28,1.4,2,.
115,0,.,0,0,3,.,.,1,10,2,1,4,0,28,1.4,2,.
115,4,.,1.7,0,3,.,.,1,10,2,1,4,0,28,1.4,2,.
116,0,.,0,0,3,.,.,1,10,2,1,4,0,28,1.4,2,.
116,4,.,0.9,0,3,.,.,1,10,2,1,4,0,28,1.4,2,.
117,0,.,0,0,3,.,.,1,10,2,1,4,0,28,1.4,2,.
117,4,.,0.3,0,3,.,.,1,10,2,1,4,0,28,1.4,2,.
118,0,.,0,0,3,.,.,1,10,2,1,6,0,28,1.4,2,.
118,6,.,0.9,0,3,.,.,1,10,2,1,6,0,28,1.4,2,.
119,0,.,0,0,3,.,.,1,10,2,1,6,0,28,1.4,2,.
119,6,.,3,0,3,.,.,1,10,2,1,6,0,28,1.4,2,.
120,0,.,0,0,3,.,.,1,10,2,1,6,0,28,1.4,2,.
120,6,.,3.8,0,3,.,.,1,10,2,1,6,0,28,1.4,2,.
121,0,.,0,0,3,.,.,1,10,2,1,8,0,28,1.4,2,.
121,8,.,0.8,0,3,.,.,1,10,2,1,8,0,28,1.4,2,.
122,0,.,0,0,3,.,.,1,10,2,1,8,0,28,1.4,2,.
122,8,.,1.2,0,3,.,.,1,10,2,1,8,0,28,1.4,2,.
123,0,.,0,0,3,.,.,1,10,2,1,8,0,28,1.4,2,.
123,8,.,0.9,0,3,.,.,1,10,2,1,8,0,28,1.4,2,.
124,0,.,0,0,3,.,.,1,10,2,1,12,0,28,1.4,2,.
124,12,.,2.8,0,3,.,.,1,10,2,1,12,0,28,1.4,2,.
125,0,.,0,0,3,.,.,1,10,2,1,12,0,28,1.4,2,.
125,12,.,56.2,0,3,.,.,1,10,2,1,12,0,28,1.4,2,.
126,0,.,0,0,3,.,.,1,10,2,1,12,0,28,1.4,2,.
126,12,.,0.8,0,3,.,.,1,10,2,1,12,0,28,1.4,2,.
127,0,.,0,0,3,.,.,1,10,2,1,24,0,28,1.4,2,.
127,24,.,3.9,0,3,.,.,1,10,2,1,24,0,28,1.4,2,.
128,0,.,0,0,3,.,.,1,10,2,1,24,0,28,1.4,2,.
128,24,.,0.4,0,3,.,.,1,10,2,1,24,0,28,1.4,2,.
129,0,.,0,0,3,.,.,1,10,2,1,24,0,28,1.4,2,.
129,24,.,1.4,0,3,.,.,1,10,2,1,24,0,28,1.4,2,.
133,0,.,0,0,3,.,.,1,25,2,1,0.25,0,28,1.4,2,.
133,0.25,.,79.8,0,3,.,.,1,25,2,1,0.25,0,28,1.4,2,.
134,0,.,0,0,3,.,.,1,25,2,1,0.25,0,28,1.4,2,.
134,0.25,.,68.5,0,3,.,.,1,25,2,1,0.25,0,28,1.4,2,.
135,0,.,0,0,3,.,.,1,25,2,1,0.25,0,28,1.4,2,.
135,0.25,.,68.2,0,3,.,.,1,25,2,1,0.25,0,28,1.4,2,.
136,0,.,0,0,3,.,.,1,25,2,1,0.5,0,28,1.4,2,.
136,0.5,.,51,0,3,.,.,1,25,2,1,0.5,0,28,1.4,2,.
137,0,.,0,0,3,.,.,1,25,2,1,0.5,0,28,1.4,2,.
137,0.5,.,33.7,0,3,.,.,1,25,2,1,0.5,0,28,1.4,2,.
138,0,.,0,0,3,.,.,1,25,2,1,0.5,0,28,1.4,2,.
138,0.5,.,4.6,0,3,.,.,1,25,2,1,0.5,0,28,1.4,2,.
139,0,.,0,0,3,.,.,1,25,2,1,1,0,28,1.4,2,.
139,1,.,114.8,0,3,.,.,1,25,2,1,1,0,28,1.4,2,.
140,0,.,0,0,3,.,.,1,25,2,1,1,0,28,1.4,2,.
140,1,.,17.8,0,3,.,.,1,25,2,1,1,0,28,1.4,2,.
141,0,.,0,0,3,.,.,1,25,2,1,1,0,28,1.4,2,.
141,1,.,32.7,0,3,.,.,1,25,2,1,1,0,28,1.4,2,.
142,0,.,0,0,3,.,.,1,25,2,1,2,0,28,1.4,2,.
142,2,.,3.6,0,3,.,.,1,25,2,1,2,0,28,1.4,2,.
143,0,.,0,0,3,.,.,1,25,2,1,2,0,28,1.4,2,.
143,2,.,72.6,0,3,.,.,1,25,2,1,2,0,28,1.4,2,.
144,0,.,0,0,3,.,.,1,25,2,1,2,0,28,1.4,2,.
144,2,.,2.2,0,3,.,.,1,25,2,1,2,0,28,1.4,2,.
145,0,.,0,0,3,.,.,1,25,2,1,4,0,28,1.4,2,.
145,4,.,2.5,0,3,.,.,1,25,2,1,4,0,28,1.4,2,.
146,0,.,0,0,3,.,.,1,25,2,1,4,0,28,1.4,2,.
146,4,.,14.4,0,3,.,.,1,25,2,1,4,0,28,1.4,2,.
147,0,.,0,0,3,.,.,1,25,2,1,4,0,28,1.4,2,.
147,4,.,2.3,0,3,.,.,1,25,2,1,4,0,28,1.4,2,.
148,0,.,0,0,3,.,.,1,25,2,1,6,0,28,1.4,2,.
148,6,.,1.1,0,3,.,.,1,25,2,1,6,0,28,1.4,2,.
149,0,.,0,0,3,.,.,1,25,2,1,6,0,28,1.4,2,.
149,6,.,4.8,0,3,.,.,1,25,2,1,6,0,28,1.4,2,.
150,0,.,0,0,3,.,.,1,25,2,1,6,0,28,1.4,2,.
150,6,.,5.9,0,3,.,.,1,25,2,1,6,0,28,1.4,2,.
151,0,.,0,0,3,.,.,1,25,2,1,8,0,28,1.4,2,.
151,8,.,0.7,0,3,.,.,1,25,2,1,8,0,28,1.4,2,.
152,0,.,0,0,3,.,.,1,25,2,1,8,0,28,1.4,2,.
152,8,.,0.7,0,3,.,.,1,25,2,1,8,0,28,1.4,2,.
153,0,.,0,0,3,.,.,1,25,2,1,8,0,28,1.4,2,.
153,8,.,1.3,0,3,.,.,1,25,2,1,8,0,28,1.4,2,.
154,0,.,0,0,3,.,.,1,25,2,1,12,0,28,1.4,2,.
154,12,.,0.3,0,3,.,.,1,25,2,1,12,0,28,1.4,2,.
155,0,.,0,0,3,.,.,1,25,2,1,12,0,28,1.4,2,.
155,12,.,9.9,0,3,.,.,1,25,2,1,12,0,28,1.4,2,.
156,0,.,0,0,3,.,.,1,25,2,1,12,0,28,1.4,2,.
156,12,.,201.9,0,3,.,.,1,25,2,1,12,0,28,1.4,2,.
157,0,.,0,0,3,.,.,1,25,2,1,24,0,28,1.4,2,.
157,24,.,1.5,0,3,.,.,1,25,2,1,24,0,28,1.4,2,.
158,0,.,0,0,3,.,.,1,25,2,1,24,0,28,1.4,2,.
158,24,.,0.8,0,3,.,.,1,25,2,1,24,0,28,1.4,2,.
159,0,.,0,0,3,.,.,1,25,2,1,24,0,28,1.4,2,.
159,24,.,1.7,0,3,.,.,1,25,2,1,24,0,28,1.4,2,.
160,0,.,0,0,3,.,.,1,50,2,1,0.25,0,28,1.4,2,.
160,0.25,.,56.8,0,3,.,.,1,50,2,1,0.25,0,28,1.4,2,.
161,0,.,0,0,3,.,.,1,50,2,1,0.5,0,28,1.4,2,.
161,0.5,.,30.3,0,3,.,.,1,50,2,1,0.5,0,28,1.4,2,.
162,0,.,0,0,3,.,.,1,50,2,1,1,0,28,1.4,2,.
162,1,.,30.9,0,3,.,.,1,50,2,1,1,0,28,1.4,2,.
163,0,.,0,0,3,.,.,1,50,2,1,2,0,28,1.4,2,.
163,2,.,15.8,0,3,.,.,1,50,2,1,2,0,28,1.4,2,.
164,0,.,0,0,3,.,.,1,50,2,1,4,0,28,1.4,2,.
164,4,.,398,0,3,.,.,1,50,2,1,4,0,28,1.4,2,.
165,0,.,0,0,3,.,.,1,50,2,1,6,0,28,1.4,2,.
165,6,.,29.6,0,3,.,.,1,50,2,1,6,0,28,1.4,2,.
166,0,.,0,0,3,.,.,1,50,2,1,8,0,28,1.4,2,.
166,8,.,14.6,0,3,.,.,1,50,2,1,8,0,28,1.4,2,.
167,0,.,0,0,3,.,.,1,50,2,1,10,0,28,1.4,2,.
167,10,.,13.9,0,3,.,.,1,50,2,1,10,0,28,1.4,2,.
168,0,.,0,0,3,.,.,1,50,2,1,12,0,28,1.4,2,.
168,12,.,1.1,0,3,.,.,1,50,2,1,12,0,28,1.4,2,.
169,0,.,0,0,3,.,.,1,50,2,1,14,0,28,1.4,2,.
169,14,.,8.9,0,3,.,.,1,50,2,1,14,0,28,1.4,2,.
170,0,.,0,0,3,.,.,1,50,2,1,16,0,28,1.4,2,.
170,16,.,3.2,0,3,.,.,1,50,2,1,16,0,28,1.4,2,.
171,0,.,0,0,3,.,.,1,50,2,1,20,0,28,1.4,2,.
171,20,.,0.6,0,3,.,.,1,50,2,1,20,0,28,1.4,2,.
172,0,.,0,0,3,.,.,1,50,2,1,24,0,28,1.4,2,.
172,24,.,5.2,0,3,.,.,1,50,2,1,24,0,28,1.4,2,.
173,0,.,0,0,3,.,.,1,50,2,1,28,0,28,1.4,2,.
173,28,.,2.6,0,3,.,.,1,50,2,1,28,0,28,1.4,2,.
174,0,.,0,0,3,.,.,1,50,2,1,0.25,0,28,1.4,2,.
174,0.25,.,42.4,0,3,.,.,1,50,2,1,0.25,0,28,1.4,2,.
175,0,.,0,0,3,.,.,1,50,2,1,0.5,0,28,1.4,2,.
175,0.5,.,252.4,0,3,.,.,1,50,2,1,0.5,0,28,1.4,2,.
176,0,.,0,0,3,.,.,1,50,2,1,1,0,28,1.4,2,.
176,1,.,166.7,0,3,.,.,1,50,2,1,1,0,28,1.4,2,.
177,0,.,0,0,3,.,.,1,50,2,1,2,0,28,1.4,2,.
177,2,.,170.9,0,3,.,.,1,50,2,1,2,0,28,1.4,2,.
178,0,.,0,0,3,.,.,1,50,2,1,4,0,28,1.4,2,.
178,4,.,324.6,0,3,.,.,1,50,2,1,4,0,28,1.4,2,.
179,0,.,0,0,3,.,.,1,50,2,1,6,0,28,1.4,2,.
179,6,.,18.4,0,3,.,.,1,50,2,1,6,0,28,1.4,2,.
180,0,.,0,0,3,.,.,1,50,2,1,8,0,28,1.4,2,.
180,8,.,1.3,0,3,.,.,1,50,2,1,8,0,28,1.4,2,.
181,0,.,0,0,3,.,.,1,50,2,1,10,0,28,1.4,2,.
181,10,.,3.2,0,3,.,.,1,50,2,1,10,0,28,1.4,2,.
182,0,.,0,0,3,.,.,1,50,2,1,12,0,28,1.4,2,.
182,12,.,0.7,0,3,.,.,1,50,2,1,12,0,28,1.4,2,.
183,0,.,0,0,3,.,.,1,50,2,1,14,0,28,1.4,2,.
183,14,.,1.7,0,3,.,.,1,50,2,1,14,0,28,1.4,2,.
184,0,.,0,0,3,.,.,1,50,2,1,16,0,28,1.4,2,.
184,16,.,1.7,0,3,.,.,1,50,2,1,16,0,28,1.4,2,.
185,0,.,0,0,3,.,.,1,50,2,1,20,0,28,1.4,2,.
185,20,.,0.4,0,3,.,.,1,50,2,1,20,0,28,1.4,2,.
186,0,.,0,0,3,.,.,1,50,2,1,24,0,28,1.4,2,.
186,24,.,1.6,0,3,.,.,1,50,2,1,24,0,28,1.4,2,.
187,0,.,0,0,3,.,.,1,50,2,1,28,0,28,1.4,2,.
187,28,.,1.1,0,3,.,.,1,50,2,1,28,0,28,1.4,2,.
188,0,.,0,0,3,.,.,1,50,2,1,0.25,0,28,1.4,2,.
188,0.25,.,51.2,0,3,.,.,1,50,2,1,0.25,0,28,1.4,2,.
189,0,.,0,0,3,.,.,1,50,2,1,0.5,0,28,1.4,2,.
189,0.5,.,53.3,0,3,.,.,1,50,2,1,0.5,0,28,1.4,2,.
190,0,.,0,0,3,.,.,1,50,2,1,1,0,28,1.4,2,.
190,1,.,62,0,3,.,.,1,50,2,1,1,0,28,1.4,2,.
191,0,.,0,0,3,.,.,1,50,2,1,2,0,28,1.4,2,.
191,2,.,188.6,0,3,.,.,1,50,2,1,2,0,28,1.4,2,.
192,0,.,0,0,3,.,.,1,50,2,1,4,0,28,1.4,2,.
192,4,.,124.1,0,3,.,.,1,50,2,1,4,0,28,1.4,2,.
193,0,.,0,0,3,.,.,1,50,2,1,6,0,28,1.4,2,.
193,6,.,2.5,0,3,.,.,1,50,2,1,6,0,28,1.4,2,.
194,0,.,0,0,3,.,.,1,50,2,1,8,0,28,1.4,2,.
194,8,.,6.9,0,3,.,.,1,50,2,1,8,0,28,1.4,2,.
195,0,.,0,0,3,.,.,1,50,2,1,10,0,28,1.4,2,.
195,10,.,15.8,0,3,.,.,1,50,2,1,10,0,28,1.4,2,.
