ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
54,2,.,24.32,0,3,.,.,1,10,2,1,2,0,27.49,1.2772,1,.
55,0,303300,.,1,1,.,.,1,10,2,1,0,0,30.33,1.5539,1,-2
55,0,.,0,0,3,.,.,1,10,2,1,0,0,30.33,1.5539,1,.
55,3,.,16.55,0,3,.,.,1,10,2,1,3,0,30.33,1.5539,1,.
56,0,279500,.,1,1,.,.,1,10,2,1,0,0,27.95,1.5539,1,-2
56,0,.,0,0,3,.,.,1,10,2,1,0,0,27.95,1.5539,1,.
56,3,.,2.56,0,3,.,.,1,10,2,1,3,0,27.95,1.5539,1,.
57,0,275000,.,1,1,.,.,1,10,2,1,0,0,27.5,1.5539,1,-2
57,0,.,0,0,3,.,.,1,10,2,1,0,0,27.5,1.5539,1,.
57,3,.,1.84,0,3,.,.,1,10,2,1,3,0,27.5,1.5539,1,.
58,0,274500,.,1,1,.,.,1,10,2,1,0,0,27.45,1.5539,1,-2
58,0,.,0,0,3,.,.,1,10,2,1,0,0,27.45,1.5539,1,.
58,4,.,3.85,0,3,.,.,1,10,2,1,4,0,27.45,1.5539,1,.
59,0,283500,.,1,1,.,.,1,10,2,1,0,0,28.35,1.5491,1,-2
59,0,.,0,0,3,.,.,1,10,2,1,0,0,28.35,1.5491,1,.
59,4,.,7.78,0,3,.,.,1,10,2,1,4,0,28.35,1.5491,1,.
60,0,288500,.,1,1,.,.,1,10,2,1,0,0,28.85,1.4813,1,-2
60,0,.,0,0,3,.,.,1,10,2,1,0,0,28.85,1.4813,1,.
60,4,.,2.8,0,3,.,.,1,10,2,1,4,0,28.85,1.4813,1,.
62,0,290400,.,1,1,.,.,1,10,2,1,0,0,29.04,1.5658,1,-2
62,0,.,0,0,3,.,.,1,10,2,1,0,0,29.04,1.5658,1,.
62,6,.,0.16,0,3,.,.,1,10,2,1,6,0,29.04,1.5658,1,.
63,0,273300,.,1,1,.,.,1,10,2,1,0,0,27.33,1.5658,1,-2
63,0,.,0,0,3,.,.,1,10,2,1,0,0,27.33,1.5658,1,.
63,6,.,2.7,0,3,.,.,1,10,2,1,6,0,27.33,1.5658,1,.
65,0,285600,.,1,1,.,.,1,10,2,1,0,0,28.56,1.7403,1,-2
65,0,.,0,0,3,.,.,1,10,2,1,0,0,28.56,1.7403,1,.
65,8,.,0.55,0,3,.,.,1,10,2,1,8,0,28.56,1.7403,1,.
66,0,273700,.,1,1,.,.,1,10,2,1,0,0,27.37,1.5724,1,-2
66,0,.,0,0,3,.,.,1,10,2,1,0,0,27.37,1.5724,1,.
66,8,.,2.44,0,3,.,.,1,10,2,1,8,0,27.37,1.5724,1,.
67,0,280000,.,1,3,.,.,1,10,1,1,0.017,0,28,1.4,1,.
67,0.017,.,7256,0,3,.,.,1,10,1,1,0.017,0,28,1.4,1,.
68,0,280000,.,1,3,.,.,1,10,1,1,0.017,0,28,1.4,1,.
68,0.017,.,8399.9,0,3,.,.,1,10,1,1,0.017,0,28,1.4,1,.
69,0,280000,.,1,3,.,.,1,10,1,1,0.017,0,28,1.4,1,.
69,0.017,.,10783.4,0,3,.,.,1,10,1,1,0.017,0,28,1.4,1,.
70,0,280000,.,1,3,.,.,1,10,1,1,0.083,0,28,1.4,1,.
70,0.083,.,1942.4,0,3,.,.,1,10,1,1,0.083,0,28,1.4,1,.
