"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV","CMT2"
11,0.25,.,4.73,0,3,.,.,4,1,1,30,1,1,0.25,0,0,3
11,0.5,.,8.14,0,3,.,.,4,1,1,30,1,1,0.5,0,0,3
11,1,.,12.2,0,3,.,.,4,1,1,30,1,1,1,0,0,3
11,2,.,110,0,3,.,.,4,1,1,30,1,1,2,0,0,3
11,4,.,17,0,3,.,.,4,1,1,30,1,1,4,0,0,3
11,6,.,13.5,0,3,.,.,4,1,1,30,1,1,6,0,0,3
11,8,.,41.3,0,3,.,.,4,1,1,30,1,1,8,0,0,3
11,12,.,47.7,0,3,.,.,4,1,1,30,1,1,12,0,0,3
11,24,.,.,1,3,.,.,4,1,1,30,1,1,12,1,0,3
12,0,30000,.,1,1,0,.,4,1,1,30,1,3,0,0,0,1
12,0,.,0,0,3,.,.,4,1,1,30,1,3,0,0,0,3
12,0.25,.,0,0,3,.,.,4,1,1,30,1,3,0.25,0,0,3
12,0.5,.,0,0,3,.,.,4,1,1,30,1,3,0.5,0,0,3
12,1,.,1.68,0,3,.,.,4,1,1,30,1,3,1,0,0,3
12,2,.,4.55,0,3,.,.,4,1,1,30,1,3,2,0,0,3
12,4,.,8.07,0,3,.,.,4,1,1,30,1,3,4,0,0,3
12,6,.,16.5,0,3,.,.,4,1,1,30,1,3,6,0,0,3
12,8,.,8.95,0,3,.,.,4,1,1,30,1,3,8,0,0,3
12,12,.,9.37,0,3,.,.,4,1,1,30,1,3,12,0,0,3
12,24,.,1.82,0,3,.,.,4,1,1,30,1,3,24,0,0,3
13,0,30000,.,1,1,0,.,4,1,1,30,1,3,0,0,0,1
13,0,.,0,0,3,.,.,4,1,1,30,1,3,0,0,0,3
13,0.25,.,2.86,0,3,.,.,4,1,1,30,1,3,0.25,0,0,3
13,0.5,.,5.97,0,3,.,.,4,1,1,30,1,3,0.5,0,0,3
13,1,.,9.67,0,3,.,.,4,1,1,30,1,3,1,0,0,3
13,2,.,8.98,0,3,.,.,4,1,1,30,1,3,2,0,0,3
13,4,.,17.1,0,3,.,.,4,1,1,30,1,3,4,0,0,3
13,6,.,27.5,0,3,.,.,4,1,1,30,1,3,6,0,0,3
13,8,.,15,0,3,.,.,4,1,1,30,1,3,8,0,0,3
13,12,.,7.14,0,3,.,.,4,1,1,30,1,3,12,0,0,3
13,24,.,1.4,0,3,.,.,4,1,1,30,1,3,24,0,0,3
14,0,30000,.,1,1,0,.,4,1,1,30,1,3,0,0,0,1
14,0,.,0,0,3,.,.,4,1,1,30,1,3,0,0,0,3
14,0.25,.,0,0,3,.,.,4,1,1,30,1,3,0.25,0,0,3
14,0.5,.,0,0,3,.,.,4,1,1,30,1,3,0.5,0,0,3
14,1,.,5.94,0,3,.,.,4,1,1,30,1,3,1,0,0,3
14,2,.,9.36,0,3,.,.,4,1,1,30,1,3,2,0,0,3
14,4,.,8.74,0,3,.,.,4,1,1,30,1,3,4,0,0,3
14,6,.,16.7,0,3,.,.,4,1,1,30,1,3,6,0,0,3
14,8,.,8.75,0,3,.,.,4,1,1,30,1,3,8,0,0,3
14,12,.,3.62,0,3,.,.,4,1,1,30,1,3,12,0,0,3
14,24,.,1.46,0,3,.,.,4,1,1,30,1,3,24,0,0,3
15,0,1e+05,.,1,1,0,.,4,1,1,100,1,1,0,0,0,1
15,0,.,0,0,3,.,.,4,1,1,100,1,1,0,0,0,3
15,0.25,.,11.6,0,3,.,.,4,1,1,100,1,1,0.25,0,0,3
15,0.5,.,40.6,0,3,.,.,4,1,1,100,1,1,0.5,0,0,3
15,1,.,72.1,0,3,.,.,4,1,1,100,1,1,1,0,0,3
15,2,.,39.7,0,3,.,.,4,1,1,100,1,1,2,0,0,3
15,4,.,45.7,0,3,.,.,4,1,1,100,1,1,4,0,0,3
15,6,.,61.8,0,3,.,.,4,1,1,100,1,1,6,0,0,3
15,8,.,56.1,0,3,.,.,4,1,1,100,1,1,8,0,0,3
15,12,.,27,0,3,.,.,4,1,1,100,1,1,12,0,0,3
15,24,.,.,1,3,.,.,4,1,1,100,1,1,12,1,0,3
16,0,1e+05,.,1,1,0,.,4,1,1,100,1,1,0,0,0,1
16,0,.,0,0,3,.,.,4,1,1,100,1,1,0,0,0,3
16,0.25,.,6.47,0,3,.,.,4,1,1,100,1,1,0.25,0,0,3
16,0.5,.,11.4,0,3,.,.,4,1,1,100,1,1,0.5,0,0,3
16,1,.,155,0,3,.,.,4,1,1,100,1,1,1,0,0,3
16,2,.,194,0,3,.,.,4,1,1,100,1,1,2,0,0,3
16,4,.,88,0,3,.,.,4,1,1,100,1,1,4,0,0,3
16,6,.,324,0,3,.,.,4,1,1,100,1,1,6,0,0,3
16,8,.,253,0,3,.,.,4,1,1,100,1,1,8,0,0,3
16,12,.,72.5,0,3,.,.,4,1,1,100,1,1,12,0,0,3
16,24,.,.,1,3,.,.,4,1,1,100,1,1,12,1,0,3
17,0,1e+05,.,1,1,0,.,4,1,1,100,1,1,0,0,0,1
17,0,.,0,0,3,.,.,4,1,1,100,1,1,0,0,0,3
17,0.25,.,10.8,0,3,.,.,4,1,1,100,1,1,0.25,0,0,3
17,0.5,.,17.4,0,3,.,.,4,1,1,100,1,1,0.5,0,0,3
17,1,.,42.3,0,3,.,.,4,1,1,100,1,1,1,0,0,3
17,2,.,48.5,0,3,.,.,4,1,1,100,1,1,2,0,0,3
17,4,.,54.5,0,3,.,.,4,1,1,100,1,1,4,0,0,3
17,6,.,135,0,3,.,.,4,1,1,100,1,1,6,0,0,3
17,8,.,63.9,0,3,.,.,4,1,1,100,1,1,8,0,0,3
17,12,.,36.3,0,3,.,.,4,1,1,100,1,1,12,0,0,3
17,24,.,.,1,3,.,.,4,1,1,100,1,1,12,1,0,3
18,0,30000,.,1,1,0,.,4,1,1,30,1,1,0,0,1,1
18,0,.,0,0,3,.,.,4,1,1,30,1,1,0,0,1,3
18,0,.,0,0,2,.,.,4,1,1,30,1,1,0,0,1,2
18,2,.,15.2,0,3,.,.,4,1,1,30,1,1,2,0,1,3
18,2,.,229.5,0,2,.,.,4,1,1,30,1,1,2,0,1,2
19,0,30000,.,1,1,0,.,4,1,1,30,1,1,0,0,1,1
19,0,.,0,0,3,.,.,4,1,1,30,1,1,0,0,1,3
19,0,.,0,0,2,.,.,4,1,1,30,1,1,0,0,1,2
