TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         DV          PRED        RES         WRES
  4.0000E+00  1.0000E+00  0.0000E+00  1.5817E+00  0.0000E+00  1.8005E+00 -2.1853E-01 -2.1853E-01  0.0000E+00  1.5817E+00  1.8005E+00 -2.1881E-01 -2.1853E-01
  4.0000E+00  2.0000E+00  0.0000E+00  9.0380E-01  0.0000E+00  1.5102E+00 -7.2201E-01 -7.2201E-01  0.0000E+00  9.0380E-01  1.5102E+00 -6.0636E-01 -7.2201E-01
  4.0000E+00  4.0000E+00  0.0000E+00  7.3480E-01  0.0000E+00  1.0389E+00 -5.2637E-01 -5.2637E-01  0.0000E+00  7.3480E-01  1.0389E+00 -3.0411E-01 -5.2637E-01
  4.0000E+00  8.0000E+00  0.0000E+00  6.0290E-01  0.0000E+00  4.8637E-01  4.3085E-01  4.3085E-01  0.0000E+00  6.0290E-01  4.8637E-01  1.1653E-01  4.3085E-01
  5.0000E+00  0.0000E+00  5.0000E+03  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  0.0000E+00  3.1460E-01  0.0000E+00  0.0000E+00  3.1460E+02  3.1460E+02  0.0000E+00  3.1460E-01  0.0000E+00  3.1460E-01  3.1460E+02
  5.0000E+00  2.5000E-01  0.0000E+00  5.4614E+00  0.0000E+00  0.0000E+00  5.4614E+03  5.4614E+03  0.0000E+00  5.4614E+00  0.0000E+00  5.4614E+00  5.4614E+03
  5.0000E+00  5.0000E-01  0.0000E+00  4.1521E+00  0.0000E+00  1.5922E+00  2.8911E+00  2.8911E+00  0.0000E+00  4.1521E+00  1.5922E+00  2.5599E+00  2.8911E+00
  5.0000E+00  7.5000E-01  0.0000E+00  3.3413E+00  0.0000E+00  1.8241E+00  1.4956E+00  1.4956E+00  0.0000E+00  3.3413E+00  1.8241E+00  1.5172E+00  1.4956E+00
  5.0000E+00  1.0000E+00  0.0000E+00  2.2491E+00  0.0000E+00  1.8005E+00  4.4801E-01  4.4801E-01  0.0000E+00  2.2491E+00  1.8005E+00  4.4859E-01  4.4801E-01
  5.0000E+00  2.0000E+00  0.0000E+00  9.6550E-01  0.0000E+00  1.5102E+00 -6.4855E-01 -6.4855E-01  0.0000E+00  9.6550E-01  1.5102E+00 -5.4466E-01 -6.4855E-01
